name,uuid,external_item_id,display_name,description,category,gtin_14,mpn,photo_url_list,salt_id,source_divisions
Ferraro Foods - NCR - Division 3 (North Carolina),5b881d2d-9cb5-4912-aba2-ee5bb0655777,0000523,PRODUCE POTATO FRYING 50 LB BAG DRY,Brand: PACKER | Pack Size: 1 X 50LB,PRODUCE,,,,0195cbb3-d8c0-7da1-9935-e19ff3c5c59e,div3_nc
Ferraro Foods - NCR - Division 5 (Maryland),5d1bcd89-4dc5-435e-a1a5-2c830c261ece,0000529,PRODUCE PEPPER BELL GREEN REF,Brand: PACKER | Pack Size: 1 X 12CT,PRODUCE,,,['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/15e48196-6e22-5164-b7e9-334d35d0188c.jpg'],0195cbb3-d92e-7854-8271-a35e88f2ce62,"div2_nj, div5_md"
Ferraro Foods - NCR - Division 5 (Maryland),c45f9e53-4307-450c-89e6-b17ab974b504,0000550,PRODUCE LETTUCE ICEBERG REF,Brand: PROMARK PRODUCE | Pack Size: 1 X 24CT,PRODUCE,10018687018574.0,21068,['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/00b7fec0-9a26-42f9-b81c-c0537c2c4b31.png'],00000000-0000-0000-0000-000000000000,"div12_florida, div14_ny_east, div2_nj, div3_nc, div5_md, div6_ct"
Ferraro Foods - NCR - Division 12 (Florida),3ab84669-7058-473d-9da6-451f42ca0ba9,0000551,PRODUCE LETTUCE ROMAINE HEARTS REF,Brand: PROMARK PRODUCE | Pack Size: 12 X 3CT,PRODUCE,10018687018604.0,29807,,00000000-0000-0000-0000-000000000000,"div12_florida, div14_ny_east, div2_nj, div3_nc, div5_md, div6_ct"
Ferraro Foods - NCR - Division 3 (North Carolina),76aa4424-dca0-4dd2-9972-4fdf32e29dfd,0000552,PRODUCE BROCCOLI CROWNS ICED REF,Brand: PROMARK PRODUCE | Pack Size: 1 X 20LB,PRODUCE,10018687018635.0,23604,['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/16b322ad-14ca-408b-8d12-91bc07769feb.png'],00000000-0000-0000-0000-000000000000,"div14_ny_east, div2_nj, div3_nc, div5_md, div6_ct"
Ferraro Foods - NCR - Division 3 (North Carolina),1c77309f-0dbb-4151-b24c-8ea887709bb1,0000553,PRODUCE LETTUCE ROMAINE LINER REF,Brand: PROMARK PRODUCE | Pack Size: 1 X 24CT,PRODUCE,10018687018598.0,29084,,0195cbb3-d9cd-7a72-be9c-e321329342db,"div12_florida, div14_ny_east, div2_nj, div3_nc, div5_md, div6_ct"
Ferraro Foods - NCR - Division 3 (North Carolina),fff492bc-b594-4a56-937d-52e197b501b7,0000554,PRODUCE LETTUCE GREENLEAF LINER REF,Brand: PROMARK PRODUCE | Pack Size: 1 X 24CT,PRODUCE,10018687018628.0,26048,['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/dcc3cb1b-9841-4adc-8a83-95b4905a7429.png'],00000000-0000-0000-0000-000000000000,"div2_nj, div3_nc, div5_md, div6_ct"
Ferraro Foods - NCR - Division 3 (North Carolina),8015d1b2-3197-4718-9e70-766c531a9903,0000555,PRODUCE SPRING MIX ARCADIA REF,Brand: PROMARK PRODUCE | Pack Size: 1 X 3LB,PRODUCE,10018687014293.0,,['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/d2a6b963-f789-405a-8d2c-2ea294a58730.png'],00000000-0000-0000-0000-000000000000,"div14_ny_east, div2_nj, div3_nc, div5_md, div6_ct"
Ferraro Foods - NCR - Division 6 (Connecticut),fead0fda-929c-45ba-afa2-83afec61e167,0000556,PRODUCE SPINACH CELLO REF,Brand: PROMARK PRODUCE | Pack Size: 4 X 2.5LB,PRODUCE,10018687014286.0,63281,,0195cbb3-d986-75c5-b8ff-2654d2a4b3fd,"div2_nj, div3_nc, div5_md, div6_ct"
Ferraro Foods - NCR - Division 2 (New Jersey),f083854a-f58c-4485-bd35-1fe58048a934,0000557,PRODUCE LETTUCE ROMAINE CHOPPED REF,Brand: PROMARK PRODUCE | Pack Size: 6 X 2LB,PRODUCE,10018687017669.0,63333,,01966dfd-9510-7bba-adab-256443c8ef12,"div2_nj, div3_nc"
Ferraro Foods - NCR - Division 5 (Maryland),821dc7d8-9ec7-4fc2-88ab-04d205ab0e62,0000558,"PRODUCE LETTUCE SHREDDED 1/4"" REF",Brand: PROMARK PRODUCE | Pack Size: 4 X 5LB,PRODUCE,10018687018031.0,63275,['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/65647083-cc1e-4bd1-bdd0-54cc2c955323.jpg'],00000000-0000-0000-0000-000000000000,"div2_nj, div3_nc, div5_md"
Ferraro Foods - NCR - Division 5 (Maryland),addfdac5-592c-4852-b7a3-8eba20f902c5,0000559,PRODUCE LETTUCE SALAD MIX W/ SEP COLOR REF,Brand: PROMARK PRODUCE | Pack Size: 4 X 5LB,PRODUCE,10018687017348.0,63255,['https://s3.amazonaws.com/media.usepepper.com/suppliers/8e3e05fc-cab8-4a55-a3aa-21ac491d2ad9/items/490c8900-1f87-4515-ab65-682cf8cdc5ba.png'],00000000-0000-0000-0000-000000000000,"div3_nc, div5_md"
Ferraro Foods - NCR - Division 3 (North Carolina),f32370c0-f60f-46aa-8073-154a36a8bee5,0000560,"PRODUCE CABBAGE 1/4"" W/ SEP COLOR REF",Brand: PROMARK PRODUCE | Pack Size: 4 X 5LB,PRODUCE,10018687015887.0,,['https://s3.amazonaws.com/media.usepepper.com/suppliers/78e69f85-c4d2-4021-aa37-a45a3451821c/items/cc2d5264-2122-4b43-bd02-f1b48ebf51dc.png'],00000000-0000-0000-0000-000000000000,"div3_nc, div5_md"
Ferraro Foods - NCR - Division 2 (New Jersey),27da8ae7-8e0f-40f3-b303-e350ef000657,0000562,PRODUCE PEPPER BELL GREEN X-LARGE BUSHEL REF,Brand: PROMARK PRODUCE | Pack Size: 1 X BUSHEL,PRODUCE,,,['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/044e4893-9b01-4086-b558-7f4129062c26.png'],00000000-0000-0000-0000-000000000000,div2_nj
Ferraro Foods - NCR - Division 2 (New Jersey),e34e7611-cd46-4a4f-9a58-3b8f432e8291,0000564,PRODUCE TOMATO LARGE 5X6 REF,Brand: PROMARK PRODUCE | Pack Size: 1 X 25#,PRODUCE,10018687015948.0,49266,,00000000-0000-0000-0000-000000000000,div2_nj
Ferraro Foods - NCR - Division 2 (New Jersey),46c75b56-2112-4b35-8a75-e595645c922a,0000565,PRODUCE TOMATO MEDIUM 6X6 REF,Brand: PROMARK PRODUCE | Pack Size: 1 X 25#,PRODUCE,10018687015955.0,46267,,00000000-0000-0000-0000-000000000000,div2_nj
Ferraro Foods - NCR - Division 2 (New Jersey),626d08c5-97cf-40a7-b3e8-c545cde37d2d,0000566,PRODUCE ONIONS YELLOW JUMBO SPANISH REF,Brand: PROMARK PRODUCE | Pack Size: 1 X 50#,PRODUCE,10018687014040.0,51325,['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/ed2e7112-a4d5-49cc-a353-5737a0d61a11.png'],00000000-0000-0000-0000-000000000000,div2_nj
Ferraro Foods - NCR - Division 2 (New Jersey),a212517e-671d-4173-bb86-ac6940d79dc9,0000567,PRODUCE ONIONS RED JUMBO REF,Brand: PROMARK PRODUCE | Pack Size: 1 X 25#,PRODUCE,10018687014088.0,51321,,00000000-0000-0000-0000-000000000000,div2_nj
Ferraro Foods - NCR - Division 2 (New Jersey),a02bbbd7-d9e1-42fe-aaed-ee9e84662049,0000568,PRODUCE EGGPLANT FANCY REF,Brand: PROMARK PRODUCE | Pack Size: 1 X BUSHEL,PRODUCE,10018687019878.0,87565,['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/cbc168c7-25da-4ccf-8be0-2033b3f2e911.png'],00000000-0000-0000-0000-000000000000,div2_nj
Ferraro Foods - NCR - Division 5 (Maryland),04821acb-7d3d-4f67-8a5c-3d19e60627cd,0000601,PRODUCE ONIONS SWEET REF,Brand: PACKER | Pack Size: 1 X 40#,PRODUCE,,,[],0192a4ff-b09a-7658-a857-b669b3c1a7fe,"div2_nj, div5_md, div6_ct"
